city, state, code
Aberdeen, SD ,ABR
Abilene, TX ,ABI
Adak Island, AK ,ADK
Akiachak, AK ,KKI
Akiak, AK ,AKI
Akron/Canton, OH ,CAK
Akuton, AK ,KQA
Alakanuk, AK ,AUK
Alamogordo, NM ,ALM
Alamosa, CO ,ALS
Albany, NY ,ALB
Albany, OR - Bus service ,CVO
Albany, OR - Bus service ,QWY
Albuquerque, NM ,ABQ
Aleknagik, AK ,WKK
Alexandria, LA ,AEX
Allakaket, AK ,AET
Allentown, PA ,ABE
Alliance, NE ,AIA
Alpena, MI ,APN
Altoona, PA ,AOO
Amarillo, TX ,AMA
Ambler, AK ,ABL
Anaktueuk, AK ,AKP
Anchorage, AK ,ANC
Angoon, AK ,AGN
Aniak, AK ,ANI
Anvik, AK ,ANV
Appleton, WI ,ATW
Arcata, CA ,ACV
Arctic Village, AK ,ARC
Asheville, NC ,AVL
Ashland, KY/Huntington, WV ,HTS
Aspen, CO ,ASE
Athens, GA ,AHN
Atka, AK ,AKB
Atlanta, GA ,ATL
Atlantic City, NJ ,AIY
Atqasuk, AK ,ATK
Augusta, GA ,AGS
Augusta, ME ,AUG
Austin, TX ,AUS
return to top
B
Bakersfield, CA ,BFL
Baltimore, MD ,BWI
Bangor, ME ,BGR
Bar Harbour, ME ,BHB
Barrow, AK ,BRW
Barter Island, AK ,BTI
Baton Rouge, LA ,BTR
Bay City, MI ,MBS
Beaumont/Port Arthur, TX ,BPT
Beaver Creek, CO - Van service ,ZBV
Beaver, AK ,WBQ
Beckley, WV ,BKW
Bedford, MA ,BED
Belleville, IL ,BLV
Bellingham, WA ,BLI
Bemidji, MN ,BJI
Benton Harbor, MI ,BEH
Bethel, AK ,BET
Bethlehem, PA ,ABE
Bettles, AK ,BTT
Billings, MT ,BIL
Biloxi/Gulfport, MS ,GPT
Binghamton, NY ,BGM
Birch Creek, AK ,KBC
Birmingham, AL ,BHM
Bismarck, ND ,BIS
Block Island, RI ,BID
Bloomington, IL ,BMI
Bluefield, WV ,BLF
Boise, ID ,BOI
Boston, MA ,BOS
Boulder, CO - Bus service ,XHH
Boulder, CO - Hiltons Har H ,WHH
Boulder, CO - Municipal Airport ,WBU
Boundary, AK ,BYA
Bowling Green, KY ,BWG
Bozeman, MT ,BZN
Bradford, PA ,BFD
Brainerd, MN ,BRD
Brawnwood, TX ,BWD
Breckenridge, CO - Van service ,QKB
Bristol, VA ,TRI
Brookings, SD ,BKX
Brooks Lodge, AK ,RBH
Brownsville, TX ,BRO
Brunswick, GA ,BQK
Buckland, AK ,BKC
Buffalo, NY ,BUF
Bullhead City/Laughlin, AZ ,IFP
